"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-","GP","G","A2","KP","AT","SOT","TkW","DIS","ErG","YC","RC","AP","PC%","SFTP","ACNC","Int","CLR","CoS","AER","PKM","OG","GAD","CSD","CSM"
"Mohamed Salah","LIV","F","1","ratzzz","@EVE Sun 12:30AM","128.5","32.12","100%","0%","4","5","0","14","1","7","3","9","0","0","0","155","82.0","83","0","0","1","12","0","0","0","0","0","0"
"Harry Kane","TOT","F","2","BS420FC","WHU Mon 4:30AM","121.25","30.31","100%","+0.1%","4","3","0","11","6","10","1","7","0","0","0","55","75.3","32","0","1","4","3","4","0","0","0","0","0"
"Son Heung-Min","TOT","M,F","3","BigUps","WHU Mon 4:30AM","113.75","28.44","100%","+0.1%","4","6","0","13","1","7","1","6","0","0","0","81","86.2","33","1","2","0","2","2","0","0","0","0","0"
"Jack Grealish","AVL","M","4","Joe","@LEI Sun 3:00AM","104.5","34.83","100%","0%","3","3","1","10","3","3","4","6","0","0","0","107","82.9","73","0","2","1","5","2","0","0","0","0","0"
"James Rodriguez","EVE","M,F","5","BCFC","LIV Sun 12:30AM","103.25","25.81","100%","+8.3%","4","3","1","12","2","4","3","9","0","0","0","181","87.0","49","1","5","0","8","1","0","0","0","0","0"
"Dominic Calvert-Lewin","EVE","F","6","Bantztas","LIV Sun 12:30AM","92.75","23.19","100%","+0.2%","4","6","0","1","0","9","1","2","0","0","0","47","72.3","18","0","1","2","2","17","0","0","0","0","0"
"Kevin De Bruyne","MCI","M","7","Joe","ARS Sun 5:30AM","84.75","28.25","100%","0%","3","1","1","14","1","4","4","3","0","0","0","139","79.4","68","2","0","1","5","0","0","0","0","0","0"
"Aaron Cresswell","WHU","D","8","STV","@TOT Mon 4:30AM","78.5","19.62","67%","+48.1%","4","0","0","10","2","0","0","0","0","0","0","149","81.0","34","7","3","18","0","4","0","0","4","2","0"
"Neal Maupay","BHA","F","9","ratzzz","@CRY Mon 2:00AM","76.75","19.19","93%","-2.5%","4","4","0","4","1","6","1","8","0","0","0","77","77.0","26","1","2","1","4","3","0","0","0","0","0"
"Sadio Mane","LIV","F","10","Blkeburn","@EVE Sun 12:30AM","75.25","25.08","100%","0%","3","3","0","6","0","6","3","8","0","1","0","96","83.5","54","0","3","0","9","1","0","0","0","0","0"
"Lucas Digne","EVE","D","11","STV","LIV Sun 12:30AM","75","18.75","100%","0%","4","0","0","8","2","0","5","1","0","0","0","206","83.7","40","9","6","12","1","7","0","0","5","1","0"
"Mateusz Klich","LEE","M","12","splitt1n","WOL Tue 8:00AM","75","18.75","100%","+2.3%","4","2","0","6","1","2","7","3","0","1","0","145","82.9","63","0","6","3","1","5","0","0","0","0","1"
"Solly March","BHA","M","13","ratzzz","@CRY Mon 2:00AM","74.75","18.69","73%","+20.8%","4","1","0","5","1","1","5","5","0","0","0","146","79.8","66","2","4","3","15","1","0","0","0","0","1"
"Timothy Castagne","LEI","D","14","BS420FC","AVL Sun 3:00AM","73.75","18.44","100%","+5.4%","4","1","0","4","3","1","2","2","0","0","0","180","80.0","43","2","6","5","4","12","0","0","4","1","0"
"Bruno Fernandes","MUN","M","15","MKJ","@NEW Sun 3:00AM","73","24.33","100%","0%","3","2","0","8","1","3","3","2","0","1","0","137","78.7","67","2","2","1","3","0","0","0","0","0","0"
