"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-","GP","G","A2","KP","AT","SOT","TkW","DIS","ErG","YC","RC","AP","PC%","SFTP","ACNC","Int","CLR","CoS","AER","PKM","OG","GAD","CSD","CSM"
"Jack Grealish","AVL","M","1","Joe","@LEI Mon 7:15AM","104.5","34.83","100%","0%","3","3","1","10","3","3","4","6","0","0","0","107","82.9","73","0","2","1","5","2","0","0","0","0","0"
"Ben Chilwell","CHE","D","2","BS420FC","SOU 3<br/>@CHE 3 F","66","33","100%","0%","2","1","0","7","2","2","1","0","0","1","0","130","82.3","34","4","3","6","1","7","0","0","3","1","0"
"Serge Aurier","TOT","D","3","WW69","WHU Mon 4:30AM","31.25","31.25","78%","+1.5%","1","1","0","1","1","2","3","1","0","0","0","56","84.8","11","0","2","3","1","0","0","0","1","0","0"
"Bruno Fernandes","MUN","M","4","MKJ","MUN 4<br/>@NEW 1 F","122.75","30.69","100%","0%","4","3","0","14","2","6","7","3","0","1","0","197","79.1","90","2","5","3","5","2","1","0","0","0","0"
"Mohamed Salah","LIV","F","5","ratzzz","LIV 2<br/>@EVE 2 F","151.75","30.35","100%","0%","5","6","0","15","1","11","3","11","0","0","0","181","83.0","96","0","0","1","13","1","0","0","0","0","0"
"Harry Kane","TOT","F","6","BS420FC","WHU Mon 4:30AM","121.25","30.31","100%","0%","4","3","0","11","6","10","1","7","0","0","0","55","75.3","32","0","1","4","3","4","0","0","0","0","0"
"Son Heung-Min","TOT","M,F","7","BigUps","WHU Mon 4:30AM","113.75","28.44","100%","0%","4","6","0","13","1","7","1","6","0","0","0","81","86.2","33","1","2","0","2","2","0","0","0","0","0"
"Kevin De Bruyne","MCI","M","8","Joe","ARS 0<br/>@MCI 1 F","84.75","28.25","100%","0%","3","1","1","14","1","4","4","3","0","0","0","139","79.4","68","2","0","1","5","0","0","0","0","0","0"
"James Rodriguez","EVE","M,F","9","BCFC","LIV 2<br/>@EVE 2 F","123.25","24.65","94%","+0.1%","5","3","1","15","3","5","4","12","0","1","0","217","87.1","62","3","5","0","11","2","0","0","0","0","0"
"Sadio Mane","LIV","F","10","Blkeburn","LIV 2<br/>@EVE 2 F","98","24.5","100%","0%","4","4","0","8","0","8","4","8","0","2","0","122","81.9","65","1","3","1","10","4","0","0","0","0","0"
"Juan Mata","MUN","M","11","W (Tue)","MUN 4<br/>@NEW 1 F","24","24","1%","+0.1%","1","0","0","3","1","1","0","0","0","0","0","59","93.7","31","0","1","0","0","0","0","0","0","0","0"
"Ollie Watkins","AVL","F","12","Joe","@LEI Mon 7:15AM","68","22.67","88%","+0.3%","3","3","0","5","1","4","2","5","0","0","0","40","59.7","17","0","2","0","3","15","0","0","0","0","0"
